"primary_keyword","position","location","salary_min","experience_years","english_level","employment","pokes"
Ruby,Full-stack Senior Ruby on Rails developer,Харьков или remote,3500,10,upper,fulltime remote,23
Ruby,Senior Backend Engineer (Ruby/Rails) + DevOps + FE experience,remote, Berlin,4500,15,upper,remote freelance relocate,2
Ruby,Senior Software Engineer,Львов,4500,6,upper,fulltime remote freelance relocate,3
Ruby,Senior Software Engineer,Львів,4500,15,upper,fulltime remote move,4
Ruby,Senior/Lead Ruby on Rails Developer,Киев,2000,15,upper,freelance,10
Ruby,Senior Ruby Developer,Одесса,5500,15,intermediate,freelance relocate,3
Ruby,Senior Ruby/Rails Developer,Івано-Франківськ,4000,7,intermediate,fulltime remote freelance relocate,26
Ruby,Senior Ruby on Rails Developer,EU, USA, CA,4000,10,intermediate,relocate,1
Ruby,Senior Ruby Developer,Киев, зарубеж,3000,4,intermediate,fulltime relocate,1
Ruby,Senior Ruby Developer,Одесса,5000,9,pre,fulltime remote,2
Ruby,Senior Ruby Engineer,Lviv,4000,4,upper,fulltime remote freelance,70
Ruby,Team Lead / Senior Software Engineer (Ruby, Rails, OCaml),Киев,5000,9,intermediate,fulltime remote relocate,19
Ruby,Senior Ruby on Rails developer [REMOTE ONLY],remote,6000,5,upper,remote freelance relocate,65
Ruby,Senior Ruby Developer,Днепр, удаленная,3300,5,intermediate,fulltime remote,1
Ruby,Senior Ruby Developer,Харьков,3000,5,intermediate,fulltime remote freelance relocate,62
Ruby,Senior Software Developer,Киев,6000,4,intermediate,fulltime remote,1
Ruby,Senior Ruby Developer,Киев,4500,5,intermediate,fulltime,1
Ruby,Senior Ruby on Rails,Киев,4300,5,intermediate,fulltime remote,41
Ruby,Senior React Native Developer / Team Lead,Киев, Днепр, Харьков,4700,15,fluent,remote,134
Ruby,Senior/Lead Ruby on Rails Developer,Харьков,4000,5,intermediate,fulltime,1
Ruby,Senior Ruby Developer,Киев,2000,6,basic,remote relocate,6
Ruby,Senior Software Engineer / Tech Lead,Киев,5500,5,upper,fulltime remote move,11
Ruby,Senior Ruby Developer,Киев,3000,7,intermediate,freelance,23
Ruby,Senior Ruby developer,Berlin, Munich, San-Francisco, Boston, Seattle,6000,4,upper,relocate,29
Ruby,Senior Ruby on Rails Developer,Одесса,5000,15,upper,fulltime remote freelance,5
